article_index,experiment_number,author,year,title,journal,url,searchterms,N_participants_recruited,N_participants_after_filtering,N_participants_per_item,part_profile,part_recruitment,compensation,demographics_reported,language,N_experiments,experiment_num_orig,N_conditions,N_conditions_reported,N_items_per_condition,design_type,between_subj_condition,balanced_items,exp_blocking,randomization,N_trials_per_participant,N_pre-test,N_post-test,multiple_tasks,confidence_design,N_target_items,N_target_items_per_participant,N_fillers,N_items_reported,linguistic_phenomenon,item_construction,item_balance,item_plausibility,contextualization,confidence_stimuli,instructions,rating_terminology,response_scale,response_levels,response_comparison,presentation_modality,task_review,task_timing,delivery_format,task_duration,task_supervision,pilot_testing,confidence,breaks,comprehension,confidence_task,stat_scale,preprocessing,software,statistical_test,bayesian,random_effects,effect_sizes,sig_threshold,mult_comp_correction,power_analysis,autocorr,propensity,other_instr,other_instr_type,confidence_analysis,item_avail,item_repository,data_avail,data_repository,preregistration,prereg_repository,corresp_author,coder_comments,coder_id
"Alexopoulou, Keller_2007_locality_cyclicity_and",4,Theodora Alexopoulou; Frank Keller,2007.0,"Locality, Cyclicity, and Resumption: At the Interface between the Grammar and the Human Sentence Processor",Language,https://doi.org/10.1353/lan.2007.0001,acceptability judgment; grammaticality judgment; intuitive judgment; linguistic intuition judgment; linguistic intuition rating; magnitude estimation; sentence judgment; syntactic judgment,33,Not Reported,Not Reported,Mixed,Online platform,Not Reported,Age; Gender / Sex; Region; Other,Greek,6,4,45,Yes,9,Within-subjects,,Yes,Intermixed,Random,90,6,0,Not Reported,Fairly confident,405,45,45,Yes,Syntax,Fully Constructed,Not Reported,Not Reported,Not Reported,Fairly confident,"First, they see a set of instructions that explain the concept of numerical ME using line length. Several example lines and corresponding numerical estimates are provided to illustrate the concept of proportionality.  ",Not Reported,Continuous,ME,Magnitude Estimation,Written,Not Reported,Not Reported,Not Reported,Not Reported,No,Not Reported,Not Reported,Not Reported,Not Reported,Fairly confident,Continuous,Z-score,Not Reported,ANOVA,No,Participant; Items,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,,Fairly confident,Published in article,,Not Reported,,Not Reported,,theodora.alexopoulou@univ-lille3.fr,excluded linguists; z-scored and log transformed data; also used Tukey and Dunnett's test for analysis,JG
"Patil, Hinterwimmer, Schumacher_2023_effect_of_evaluative",1,Umesh Patil; Stefan Hinterwimmer; Petra B Schumacher,2023.0,Effect of evaluative expressions on two types of demonstrative pronouns in German,Glossa,https://doi.org/10.16995/glossa.9577,Likert scale; acceptability judg(e)ment; acceptability rating; linguistic intuition judg(e)ment; linguistic intuition rating; oridnal rating(s); sentence judg(e)ment,,,,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,1,1,,,,Within-subjects,,Not Reported,Not Reported,Not Reported,,0,0,Not Reported,,,,Not Reported,,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,,,Not Reported,Not Reported,,Isolation,Written,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,,,Not Reported,Not Reported,Not Reported,No,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,,,Not Reported,,Not Reported,,Not Reported,,,Exclude; test annotatoin,JG
"Patil, Hinterwimmer, Schumacher_2023_effect_of_evaluative",2,Umesh Patil; Stefan Hinterwimmer; Petra B Schumacher,2023.0,Effect of evaluative expressions on two types of demonstrative pronouns in German,Glossa,https://doi.org/10.16995/glossa.9577,Likert scale; acceptability judg(e)ment; acceptability rating; linguistic intuition judg(e)ment; linguistic intuition rating; oridnal rating(s); sentence judg(e)ment,,,,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,1,1,,,,Within-subjects,,Not Reported,Not Reported,Not Reported,,0,0,Not Reported,,,,Not Reported,,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,,Not Reported,Not Reported,Not Reported,,Isolation,Written,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,,,Not Reported,Not Reported,Not Reported,No,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,,,Not Reported,,Not Reported,,Not Reported,,,Exclude; test annotatoin 2,JG
"Jurgec, Schertz_2020_postalveolar_cooccurrence_restrictions",2,Peter Jurgec; Jessamyn Schertz,2020.0,Postalveolar co-occurrence restrictions in Slovenian,NL & LT,https://www.jstor.org/stable/48741727,Likert scale; acceptability judgment; acceptability rating; naturalness judgment; naturalness rating,50,not reported,50,Mixed,Mixed,Not Reported,Age; Region,Slovenian,2,2,192,No,1,Within-subjects,,Not Reported,Not Reported,Random,144,0,0,Not Reported,Slightly confident,192,192,Not Reported,Yes,Phonology,Fully Constructed,Not Reported,Not Reported,Not Reported,Fairly confident,asked to rate goodness on a scale from a (worst) to 5 (best),other,Ordinal (Likert),5,Isolation,Written,Not Reported,Not Reported,Computer-based,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Slightly confident,Continuous,Not Reported,R,Mixed-Effects Regression,No,Participant; Items,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,,Fairly confident,Published in article,,Not Reported,,Not Reported,,peter.jurgec@utoronto.ca,"I reported two data collections, but in both cases they seem to have used some data to zoom in on a specific hypothesis, which makes it look like there are more than 2 experiments",DD
"Jurgec, Schertz_2020_postalveolar_cooccurrence_restrictions",1,Peter Jurgec; Jessamyn Schertz,2020.0,Postalveolar co-occurrence restrictions in Slovenian,NL & LT,https://www.jstor.org/stable/48741727,Likert scale; acceptability judgment; acceptability rating; naturalness judgment; naturalness rating,59,59,59,Not Reported,Mixed,Not Reported,Age; Region,Slovenian,2,1,"108? 3*3*3*4 I think, ",No,1,Within-subjects,,Not Reported,Not Reported,Random,144,0,0,Not Reported,Slightly confident,144,144,Not Reported,Yes,Phonology,Fully Constructed,Not Reported,Not Reported,Not Reported,Fairly confident,asked to rate goodness on a scale from a (worst) to 5 (best),other,Ordinal (Likert),5,Isolation,Written,Not Reported,Not Reported,Computer-based,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,,Continuous,Not Reported,R,Mixed-Effects Regression,No,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,,Fairly confident,Published in article,,Not Reported,,Not Reported,,peter.jurgec@utoronto.ca,,DD
"Omaki, Fukuda, Nakao et al._2020_subextraction_in_japanese",2,Akira Omaki; Shin Fukuda; Chizuru Nakao; Maria Polinsky,2020.0,"Subextraction in Japanese and subject-object symmetry

",NL & LT,https://www.jstor.org/stable/48741730,Likert scale; acceptability judgment; acceptability rating; linguistic intuition judgment; linguistic intuition rating; naturalness judgment; naturalness rating; sentence judgment; syntactic judgment,53,50,not reported,Students (unspecified),Not Reported,Not Reported,Language background,Japanese,3,2,4,Yes,8*2=16,Between-subjects,,Not Reported,Intermixed,Semi-random,16,0,0,Not Reported,Fairly confident,64,16,24,Yes,Syntax,Fully Constructed,Not Reported,Not Reported,Not Reported,Fairly confident,"use a 7 point scale to provide your judgments, with 7 being completely natural and 1 being completely unnatural",naturalness,Ordinal (Likert),7,Isolation,Written,Not Reported,Not Reported,Paper,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Fairly confident,Continuous,Z-score,R,Mixed-Effects Regression,No,Participant,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,,Fairly confident,Not Reported,,Not Reported,,Not Reported,,fukudash@hawaii.edu,The acknowledgments thank colleagues for allowing them to run pilot studies,DD
"Omaki, Fukuda, Nakao et al._2020_subextraction_in_japanese",1,Akira Omaki; Shin Fukuda; Chizuru Nakao; Maria Polinsky,2020.0,"Subextraction in Japanese and subject-object symmetry

",NL & LT,https://www.jstor.org/stable/48741730,Likert scale; acceptability judgment; acceptability rating; linguistic intuition judgment; linguistic intuition rating; naturalness judgment; naturalness rating; sentence judgment; syntactic judgment,62,60,44,Students (unspecified),Not Reported,Not Reported,Language background,Japanese,3,1,40 (?),No,40 (?),Between-subjects,,Not Reported,Intermixed,Not Reported,44,4,0,Not Reported,Not confident at all,160,44,40,Yes,Syntax,Fully Constructed,Not Reported,Not Reported,Not Reported,Fairly confident,"use a 7 point scale to provide your judgments, with 7 being completely natural and 1 being completely unnatural",naturalness,Ordinal (Likert),7,Isolation,Written,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Fairly confident,Continuous,Z-score,R,Mixed-Effects Regression,No,Participant,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,,Fairly confident,Not Reported,,Not Reported,,Not Reported,,fukudash@hawaii.edu,They say there were 40 patterns of target sentences but I count 32 ...,DD
Stegovec_2020_taking_case_out,1,Adrian Stegovec,2020.0,Taking case out of the Person-Case Constraint,NL & LT,https://www.jstor.org/stable/48741667,grammaticality judgment; linguistic intuition judgment; naturalness judgment; sentence judgment; syntactic judgment,not reported,not reported,not reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,1,1,not reported,No,not reported,Not Reported,,Not Reported,Not Reported,Not Reported,not reported,not reported,not reported,Not Reported,Not confident at all,not reported,not reported,Not Reported,No,Morphology; Syntax,Not Reported,Not Reported,Not Reported,Not Reported,Not confident at all,not reported,Not Reported,Not Reported,not reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not confident at all,Not Reported,Not Reported,Not Reported,Not Reported,No,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,,Not confident at all,Not Reported,,Not Reported,,Not Reported,,Adrian.stegovec@uconn.edu,I think there was no actual experiment but the author simply consulted speakers to arrive at the judgments he includes in his paper,DD
"Ionin, Luchkina_2018_focus_on_russian",1,Tania Ionin; Tatiana Luchkina,2018.0,"Focus on Russian Scope: An Experimental Investigation of the Relationship between Quantifier Scope, Prosody, and Information Structure",Linguistic Inquiry,https://www.jstor.org/stable/26858265,acceptability judgment; sentence judgment; syntactic judgment,,,,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,1,1,,,,Within-subjects,,Not Reported,Not Reported,Not Reported,,0,0,Not Reported,,,,Not Reported,,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,,,Not Reported,Not Reported,,Isolation,Written,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,,,Not Reported,Not Reported,Not Reported,No,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,,,Not Reported,,Not Reported,,Not Reported,,,"The fields have NOT been filled out as this article concerns an ""auditory sentence-picture verification task"" in which participants judge whether the meaning of a sentence matches what's depicted in a picture. Hence, this does not constitute a rating of grammaticality, so the paper should be excluded from the analyses.",LR
"Ackerman, Frazier, Yoshida_2018_resumptive_pronouns_can",1,Lauren Ackerman; Michael Frazier; Masaya Yoshida,2018.0,Resumptive Pronouns Can Ameliorate Illicit Island Extractions,Linguistic Inquiry,https://www.jstor.org/stable/26858268,Likert scale; acceptability judgment; acceptability rating; grammaticality judgment; grammaticality rating; magnitude estimation; sentence judgment; syntactic judgment,80,80,40,Other non-students,Online platform,Paid directly,Region,English,6,1,2,No,12,Within-subjects,,Not Reported,Not Reported,Not Reported,108,0,0,Yes,Slightly confident,24,12,96,No,Syntax,Not Reported,Not Reported,Not Reported,No,Slightly confident,"In the FC task, the two sentences were presented together, as illustrated in (3), and the participants were asked to choose the more acceptable sentence of the pair.",acceptability,Dichotomous (Binary),2,Variant Comparison,Written,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Fairly confident,Dichotomous,Centering,R,Mixed-Effects Regression,No,Participant; Items,Yes,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,,,Not Reported,,Not Reported,,Not Reported,,lauren.ackerman@ncl.ac.uk,"The article talks about 6 experiments, but one could argue that it presents one big design with multiple between-subject manipulations. One of the manipulations has to do with the instrument which is not straightforward to implement in our questionnaire, so I've stuck with the framing of the article and considered the datacollections as separate experiments.",LR
"Ackerman, Frazier, Yoshida_2018_resumptive_pronouns_can",3,Lauren Ackerman; Michael Frazier; Masaya Yoshida,2018.0,Resumptive Pronouns Can Ameliorate Illicit Island Extractions,Linguistic Inquiry,https://www.jstor.org/stable/26858268,Likert scale; acceptability judgment; acceptability rating; grammaticality judgment; grammaticality rating; magnitude estimation; sentence judgment; syntactic judgment,80,80,40,Other non-students,Online platform,Paid directly,Region,English,6,3,2,No,12,Within-subjects,,Not Reported,Not Reported,Not Reported,108,0,0,Yes,Slightly confident,24,12,96,No,Syntax,Not Reported,Not Reported,Not Reported,No,Slightly confident,"In the FC task, the two sentences were presented together, as illustrated in (3), and the participants were asked to choose the more acceptable sentence of the pair.",acceptability,Dichotomous (Binary),2,Variant Comparison,Written,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Fairly confident,Dichotomous,Centering,R,Mixed-Effects Regression,No,Participant; Items,Yes,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,,,Not Reported,,Not Reported,,Not Reported,,lauren.ackerman@ncl.ac.uk,"The article talks about 6 experiments, but one could argue that it presents one big design with multiple between-subject manipulations. One of the manipulations has to do with the instrument which is not straightforward to implement in our questionnaire, so I've stuck with the framing of the article and considered the datacollections as separate experiments.",LR
"Ackerman, Frazier, Yoshida_2018_resumptive_pronouns_can",4,Lauren Ackerman; Michael Frazier; Masaya Yoshida,2018.0,Resumptive Pronouns Can Ameliorate Illicit Island Extractions,Linguistic Inquiry,https://www.jstor.org/stable/26858268,Likert scale; acceptability judgment; acceptability rating; grammaticality judgment; grammaticality rating; magnitude estimation; sentence judgment; syntactic judgment,80,80,40,Other non-students,Online platform,Paid directly,Region,English,6,4,2,No,12,Within-subjects,,Not Reported,Not Reported,Not Reported,108,0,0,Yes,Slightly confident,24,12,96,No,Syntax,Not Reported,Not Reported,Not Reported,No,Slightly confident,Participants were asked to choose which of the two phrases best fit the incomplete sentence.,other,Dichotomous (Binary),2,Variant Comparison,Written,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Fairly confident,Dichotomous,Centering,R,Mixed-Effects Regression,No,Participant; Items,Yes,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,,,Not Reported,,Not Reported,,Not Reported,,lauren.ackerman@ncl.ac.uk,"The article talks about 6 experiments, but one could argue that it presents one big design with multiple between-subject manipulations. One of the manipulations has to do with the instrument which is not straightforward to implement in our questionnaire, so I've stuck with the framing of the article and considered the datacollections as separate experiments.",LR
"Ackerman, Frazier, Yoshida_2018_resumptive_pronouns_can",5,Lauren Ackerman; Michael Frazier; Masaya Yoshida,2018.0,Resumptive Pronouns Can Ameliorate Illicit Island Extractions,Linguistic Inquiry,https://www.jstor.org/stable/26858268,Likert scale; acceptability judgment; acceptability rating; grammaticality judgment; grammaticality rating; magnitude estimation; sentence judgment; syntactic judgment,80,80,40,Other non-students,Online platform,Paid directly,Region,English,6,5,2,No,12,Within-subjects,,Not Reported,Not Reported,Not Reported,108,0,0,Yes,Slightly confident,24,12,96,No,Syntax,Not Reported,Not Reported,Not Reported,No,Slightly confident,Participants were asked to choose which of the two phrases best fit the incomplete sentence.,other,Dichotomous (Binary),2,Variant Comparison,Written,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Fairly confident,Dichotomous,Centering,R,Mixed-Effects Regression,No,Participant; Items,Yes,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,,,Not Reported,,Not Reported,,Not Reported,,lauren.ackerman@ncl.ac.uk,"The article talks about 6 experiments, but one could argue that it presents one big design with multiple between-subject manipulations. One of the manipulations has to do with the instrument which is not straightforward to implement in our questionnaire, so I've stuck with the framing of the article and considered the datacollections as separate experiments.",LR
"Ackerman, Frazier, Yoshida_2018_resumptive_pronouns_can",6,Lauren Ackerman; Michael Frazier; Masaya Yoshida,2018.0,Resumptive Pronouns Can Ameliorate Illicit Island Extractions,Linguistic Inquiry,https://www.jstor.org/stable/26858268,Likert scale; acceptability judgment; acceptability rating; grammaticality judgment; grammaticality rating; magnitude estimation; sentence judgment; syntactic judgment,80,80,40,Other non-students,Online platform,Paid directly,Region,English,6,6,2,No,12,Within-subjects,NA,Not Reported,Not Reported,Not Reported,108,0,0,Yes,Slightly confident,24,12,96,No,Syntax,Not Reported,Not Reported,Not Reported,No,Slightly confident,Participants were asked to choose which of the two phrases best fit the incomplete sentence.,other,Dichotomous (Binary),2,Variant Comparison,Written,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Fairly confident,Dichotomous,Centering,R,Mixed-Effects Regression,No,Participant; Items,Yes,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,NA,,Not Reported,NA,Not Reported,NA,Not Reported,NA,lauren.ackerman@ncl.ac.uk,"The article talks about 6 experiments, but one could argue that it presents one big design with multiple between-subject manipulations. One of the manipulations has to do with the instrument which is not straightforward to implement in our questionnaire, so I've stuck with the framing of the article and considered the datacollections as separate experiments.",LR
Pertsova_2016_transderivational_relations_and,1,Katya Pertsova,2016.0,Transderivational relations and paradigm gaps in Russian verbs,Glossa,https://doi.org/10.5334/gjgl.59,Likert scale; acceptability judg(e)ment; acceptability rating; grammaticality judg(e)ment; grammaticality rating; linguistic intuition judg(e)ment; linguistic intuition rating; sentence judg(e)ment,,,,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,1,1,,,,Within-subjects,NA,Not Reported,Not Reported,Not Reported,,0,0,Not Reported,,,,Not Reported,,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,,,Not Reported,Not Reported,,Isolation,Written,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,,,Not Reported,Not Reported,Not Reported,No,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,NA,,Not Reported,NA,Not Reported,NA,Not Reported,NA,,"Exclude; Used fill-in-the blank cloze reading task, not Acceptability Judgments",JG
Calhoun_2017_exclusives_equatives_and,1,Sasha Calhoun,2017.0,"Exclusives, equatives and prosodic phrases in Samoan",Glossa,https://doi.org/10.5334/gjgl.196,acceptability judg(e)ment; acceptability rating; grammaticality judg(e)ment; grammaticality rating; linguistic intuition judg(e)ment; linguistic intuition rating; magnitude estimation; naturalness judg(e)ment; naturalness rating; naïve rating; oridnal rating(s); sentence judg(e)ment; syntactic judg(e)ment,14,Not Reported,Not Reported,Not Reported,Not Reported,Not compensated,Gender / Sex; Age; Region; Language background; Education,Samoan,1,1,13?,No,Not Reported,Within-subjects,NA,Not Reported,Blocks,Semi-random,208,0,0,Not Reported,Slightly confident,208,28,180,Yes,Phonology; Semantics; Syntax,Fully Constructed,Not Reported,Not Reported,No,Fairly confident,"For each sentence, participants were asked to judge ’O le ā le tūlaga e iai lea fuai’upu i le gagana Sāmoa, e tusa ai ma lau fa’afofoga? (‘How acceptable is this as a sentence of Samoan?’). ",acceptability,Ordinal (Likert),9,Isolation,Written,Not Reported,Not Reported,Computer-based,Not Reported,No,Not Reported,Not Reported,Not Reported,Not Reported,Fairly confident,Ordinal,Not Reported,R,Mixed-Effects Regression,No,Participant; Items,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Yes,prosody production data,Fairly confident,Published in supplement,https://doi.org/10.5334/gjgl.196.s1,Not Reported,NA,Not Reported,NA,Sasha.Calhoun@vuw.ac.nz,Exact condition numbers unclear; mix of conditions and analysis,JG
Mikkelsen_2011_on_prosody_and,1,Line Mikkelsen,2011.0,On Prosody and Focus in Object Shift,Syntax,https://doi.org/10.1111/j.1467-9612.2011.00152.x,grammaticality judgment; grammaticality rating; intuitive judgment; linguistic intuition judgment; linguistic intuition rating; naive rating; sentence judgment; syntactic judgment,11,Not Reported,11,Linguists (students or otherwise),Personal / professional network,Not Reported,Not Reported,Danish,3,1,8,No,Mixed,Within-subjects,NA,Yes,Blocks,Not Reported,20,0,0,Not Reported,Fairly confident,20,20,Not Reported,Yes,Syntax; Phonology,Fully Constructed,Not Reported,Not Reported,Not Reported,Fairly confident,Not Reported,Not Reported,Ordinal (Likert),4,Isolation,Written,Not Reported,Not Reported,Not Reported,Not Reported,No,Not Reported,Not Reported,Not Reported,Not Reported,Fairly confident,Ordinal,Not Reported,Not Reported,Descriptive only,No,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,NA,Very confident,Published in article,NA,Published in article,NA,Not Reported,NA,mikkelsen@berkeley.edu,Just an informal pilot ,JG
Mikkelsen_2011_on_prosody_and,2,Line Mikkelsen,2011.0,On Prosody and Focus in Object Shift,Syntax,https://doi.org/10.1111/j.1467-9612.2011.00152.x,grammaticality judgment; grammaticality rating; intuitive judgment; linguistic intuition judgment; linguistic intuition rating; naive rating; sentence judgment; syntactic judgment,18,Not Reported,11,Linguists (students or otherwise),Personal / professional network,Not Reported,Age; Language background; Region,Danish,3,1,48,Yes,1,Within-subjects,NA,Yes,Blocks,Semi-random,96,0,5,Not Reported,Fairly confident,48,48,48,Yes,Syntax; Phonology,Fully Constructed,Not Reported,Not Reported,Not Reported,Fairly confident,"Subjects entered their responses via keyboard and had three choices for each response: 1 for ‘‘grammatical’’ (something a native speaker would say), 7 for ‘‘ungrammatical’’ (not something a native speaker would say), and 4 for ‘‘I don't know.’’ ",grammaticality,Dichotomous (Binary),3,Isolation,Audio,Not Reported,Not Reported,Not Reported,Not Reported,No,Not Reported,Not Reported,Not Reported,Not Reported,Fairly confident,Dichotomous,Not Reported,Not Reported,Simple Regression,No,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Yes,Stress assignment task,Very confident,Published in supplement,NA,Not Reported,NA,Not Reported,NA,mikkelsen@berkeley.edu,"Response was dichotomous with a third ""I don't know"" value, which were excluded.",JG
"Sprouse, Fukuda, Ono et al._2011_reverse_island_effects",2,Jon Sprouse; Shin Fukuda; Hajime Ono; Robert Kluender,2011.0,Reverse Island Effects and the Backward Search for a Licensor in Multiple Wh-Questions,Syntax,https://doi.org/10.1111/j.1467-9612.2011.00153.x,acceptability judgment; acceptability rating; grammaticality judgment; grammaticality rating; magnitude estimation; naturalness judgment; naturalness rating; sentence judgment; syntactic judgment,47,Not Reported,Not Reported,Mixed,Online platform,Paid directly,Language background,English,3,2,10,No,1,Within-subjects,NA,Yes,Intermixed,Semi-random,96,9,0,Not Reported,Fairly confident,10,10,86,No,Syntax,Fully Constructed,Not Reported,Not Reported,Not Reported,Fairly confident,"Not Reported. ""Participants are asked to use the standard to estimate the acceptability of the experimental items.""",acceptability,Continuous,ME,Isolation,Written,Not Reported,Not Reported,Computer-based,Not Reported,No,Not Reported,Not Reported,Not Reported,Not Reported,Slightly confident,Continuous,Z-score,R,Mixed-Effects Regression,No,Participant; Items,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,NA,Fairly confident,Not Reported,NA,Not Reported,NA,Not Reported,NA,jsprouse@uci.edu,"Items for this experiment were ""interleaved"" with items from Experiment 1. So for this experiment, all other items are fillers. The total number of is unclear, and it's also unclear how these items fit in with the ""fillers"" from Exp 1.",JG
"Sprouse, Fukuda, Ono et al._2011_reverse_island_effects",3,Jon Sprouse; Shin Fukuda; Hajime Ono; Robert Kluender,2011.0,Reverse Island Effects and the Backward Search for a Licensor in Multiple Wh-Questions,Syntax,https://doi.org/10.1111/j.1467-9612.2011.00153.x,acceptability judgment; acceptability rating; grammaticality judgment; grammaticality rating; magnitude estimation; naturalness judgment; naturalness rating; sentence judgment; syntactic judgment,54,Not Reported,Not Reported,Linguists (students or otherwise),University affiliation,Not Reported,Language background,Japanese,3,3,24,Yes,8,Within-subjects,NA,Yes,Intermixed,Semi-random,54,0,0,Not Reported,Fairly confident,192,24,30,No,Syntax,Fully Constructed,Not Reported,Not Reported,Not Reported,Fairly confident,"Not Reported. ""Participants are asked to use the standard to estimate the acceptability of the experimental items.""",acceptability,Continuous,ME,Isolation,Written,Not Reported,Not Reported,Computer-based,Not Reported,No,Not Reported,Not Reported,Not Reported,Not Reported,Slightly confident,Continuous,Z-score,R,Mixed-Effects Regression,No,Participant; Items,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,NA,Fairly confident,Not Reported,NA,Not Reported,NA,Not Reported,NA,jsprouse@uci.edu,Study cites 24 conditions but only provides 16 examples of those conditions,JG
"Nambu, Nakatani_2023_an_experimental_study",1,Satoshi Nambu; Kentaro Nakatani,2023.0,An experimental study of the adjacency constraint on the genitive subject in Japanese,Glossa,https://doi.org/10.16995/glossa.9509,Likert scale; acceptability judg(e)ment; acceptability rating; grammaticality judg(e)ment; grammaticality rating; naturalness judg(e)ment; naturalness rating; sentence judg(e)ment; syntactic judg(e)ment,40,Not Reported,Not Reported,Not Reported,University affiliation,Not Reported,Language background,Japanese,5,1,4,Yes,16,Within-subjects,NA,Yes,Intermixed,Semi-random,48,5,0,Not Reported,Fairly confident,64,16,32,Yes,Syntax,Fully Constructed,Not Reported,Not Reported,Not Reported,Fairly confident,Not Reported,naturalness,Ordinal (Likert),5,Isolation,Written,Not Reported,Not Reported,Paper,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Fairly confident,Continuous,Z-score,R,Mixed-Effects Regression,No,Participant; Items,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,NA,Fairly confident,Not Reported,NA,Public Repository,https://osf.io/v9ery,Not Reported,NA,satoshi.nambu@monash.edu,"participants were ""recruited at a university in Japan""; minimal information about items, oddly",JG
"Nambu, Nakatani_2023_an_experimental_study",2,Satoshi Nambu; Kentaro Nakatani,2023.0,An experimental study of the adjacency constraint on the genitive subject in Japanese,Glossa,https://doi.org/10.16995/glossa.9509,Likert scale; acceptability judg(e)ment; acceptability rating; grammaticality judg(e)ment; grammaticality rating; naturalness judg(e)ment; naturalness rating; sentence judg(e)ment; syntactic judg(e)ment,67,Not Reported,Not Reported,Not Reported,University affiliation,Not Reported,Language background,Japanese,5,2,4,Yes,16,Within-subjects,NA,Yes,Intermixed,Semi-random,48,5,0,Not Reported,Fairly confident,64,16,32,Yes,Syntax,Fully Constructed,Not Reported,Not Reported,Not Reported,Fairly confident,Not Reported,naturalness,Ordinal (Likert),5,Isolation,Written,Not Reported,Not Reported,Paper,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Fairly confident,Continuous,Z-score,R,Mixed-Effects Regression,No,Participant; Items,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,NA,Fairly confident,Not Reported,NA,Public Repository,https://osf.io/v9ery,Not Reported,NA,satoshi.nambu@monash.edu,"participants were ""recruited at a university in Japan""; minimal information about items, oddly",JG
